"estado","uf","gentilico","governador","capital","area_km2","populacao","densidade","matriculas","idh","receitas","despesas","renda_per_capita","veiculos"
"Acre",12,"acriano","GLADSON DE LIMA CAMELI","Rio Branco",164173.429,830018,5.06,153015,0.71,6632883.10836,6084416.8063,1095,334377
"Alagoas",27,"alagoano","PAULO SURUAGY DO AMARAL DANTAS","Maceió",27830.661,3127683,112.38,458782,0.684,11950438.46015,10460634.91711,1110,1034187
"Amapá",16,"amapaense","CLÉCIO LUÍS VILHENA VIEIRA","Macapá",142470.762,733759,5.15,133839,0.688,5396417.14471,4224464.08829,1520,232691
"Amazonas",13,"amazonense","WILSON MIRANDA LIMA","Manaus",1559255.881,3941613,2.53,702763,0.7,17328459.43402,15324896.55705,1172,1069794
"Bahia",29,"baiano","JERÔNIMO RODRIGUES SOUZA","Salvador",564760.429,14141626,25.04,1946957,0.691,50191003.24052,45570160.0038,1139,4887673
"Ceará",23,"cearense","ELMANO DE FREITAS DA COSTA","Fortaleza",148894.447,8794957,59.07,1161434,0.734,28420222.47191,24608352.18276,1166,3625994
"Distrito Federal",53,"brasiliense","IBANEIS ROCHA BARROS JÚNIOR","Brasília",5760.784,2817381,489.06,369128,0.814,23812211.27074,21990464.6849,3357,2021627
"Espírito Santo",32,"capixaba ou espírito-santense","JOSÉ RENATO CASAGRANDE","Vitória",46074.448,3833712,83.21,503003,0.771,19685616.74376,14392338.00188,1915,2248960
"Goiás",52,"goiano","RONALDO RAMOS CAIADO","Goiânia",340242.859,7056495,20.74,855021,0.737,37885335.16848,24248380.34233,2017,4542235
"Maranhão",21,"maranhense","CARLOS ORLEANS BRANDÃO JÚNIOR","São Luís",329651.496,6776699,20.56,1112636,0.676,18503261.35491,17627170.75574,945,2031236
"Mato Grosso",51,"mato-grossense","MAURO MENDES FERREIRA","Cuiabá",903208.361,3658649,4.05,486568,0.736,23958528.83588,18187363.27009,1991,2568240
"Mato Grosso do Sul",50,"sul-mato-grossense ou mato-grossense-do-sul","EDUARDO CORREA RIEDEL","Campo Grande",357142.082,2757013,7.72,391975,0.742,16396655.77012,14506915.37404,2030,1824708
"Minas Gerais",31,"mineiro","ROMEU ZEMA NETO","Belo Horizonte",586513.983,20539989,35.02,2407107,0.774,97199823.15616,98391669.16323,1918,13028883
"Pará",15,"paraense","HELDER ZAHLUTH BARBALHO","Belém",1245870.704,8120131,6.52,1389983,0.69,25849446.10454,22533470.04547,1282,2478988
"Paraíba",25,"paraibano","JOÃO AZEVEDO LINS FILHO","João Pessoa",56467.242,3974687,70.39,540919,0.698,13097005.31928,10074700.04266,1320,1523167
"Paraná",41,"paranaense","CARLOS ROBERTO MASSA JUNIOR","Curitiba",199298.981,11444380,57.42,1348296,0.769,60163576.12246,55534402.97483,2115,8575905
"Pernambuco",26,"pernambucano","RAQUEL TEIXEIRA LYRA LUCENA","Recife",98067.877,9058931,92.37,1249850,0.719,35746028.97102,33320486.44445,1113,3439164
"Piauí",22,"piauiense","RAFAEL TAJRA FONTELES","Teresina",251755.481,3271199,12.99,459871,0.69,12124215.61511,9676736.31835,1342,1385426
"Rio de Janeiro",33,"fluminense","CLÁUDIO BOMFIM DE CASTRO E SILVA","Rio de Janeiro",43750.425,16055174,366.97,1945408,0.762,78488140.78862,67965548.69757,2367,7475503
"Rio Grande do Norte",24,"potiguar ou norte-rio-grandense ou rio-grandense-do-norte","MARIA DE FATIMA BEZERRA","Natal",52809.599,3302729,62.54,447692,0.728,13527552.73159,11330957.55333,1373,1495094
"Rio Grande do Sul",43,"gaúcho ou sul-rio-grandense","EDUARDO FIGUEIREDO CAVALHEIRO LEITE","Porto Alegre",281707.151,10882965,38.63,1257992,0.771,66397468.17915,62476279.34364,2304,7869630
"Rondônia",11,"rondoniense ou rondoniano","MARCOS JOSÉ ROCHA DOS SANTOS","Porto Velho",237754.172,1581196,6.65,244815,0.7,9122310.72305,7085530.0168,1527,1154287
"Roraima",14,"roraimense","ANTONIO OLIVERIO GARCIA DE ALMEIDA","Boa Vista",223644.53,636707,2.85,103123,0.699,4266318.54785,3865094.27139,1425,263345
"Santa Catarina",42,"catarinense ou barriga-verde","JORGINHO DOS SANTOS MELLO","Florianópolis",95730.69,7610361,79.5,900240,0.792,34696772.82078,25595103.37918,2269,5974106
"São Paulo",35,"paulista","TARCISIO GOMES DE FREITAS","São Paulo",248219.485,44411238,178.92,5396803,0.806,232822496.56706,231982243.69176,2492,32293191
"Sergipe",28,"sergipano ou sergipense","FÁBIO CRUZ MITIDIERI","Aracaju",21938.188,2210004,100.74,320638,0.702,10145046.95355,8494927.19996,1218,907388
"Tocantins",17,"tocantinense","WANDERLEI BARBOSA CASTRO","Palmas",277423.627,1511460,5.45,227743,0.731,10305099.01288,8929456.43836,1581,830733
